date,rating,review
1개월 전,별표 5개,"부모님을 모시고 경복궁의 핵심 전각들부터 국립민속박물관, 청와대 입구까지의 코스로 관광을 진행하였습니다.   우선 경복궁에 들어서자마자 마주한 근정전의 웅장한 규모와 정교한 한옥 처마의 아름다움에 부모님께서 연신 감탄하셨습니다.  이어서 방문한 경회루는 잔잔한 연못 위에 떠 있는 모습이 한 폭의 그림 같아, 부모님 사진을 찍기에 좋았습니다.  향원정 등 경복궁 내의 크고 작은 여러 건물들을 여유롭게 대부분 둘러보았는데, 건물들이 근처에 가까이 있었기에 돌아보기 좋았습니다.   경복궁 한 바퀴를 크게 돈 후에는 자연스럽게 이어지는 국립민속박물관으로 향했습니다. 실내 전시뿐만 아니라 야외에 조성된 추억의 거리 등 볼거리가 생각보다 훨씬 풍성하고 정겨워서, 부모님과 옛이야기를 나누며 뜻깊은 시간을 보낼 수 있었습니다.   마지막으로 박물관을 나와 경복궁 바깥 둘레를 통해 청와대 입구의 푸른 기와까지 마주하고 오는 것으로 투어를 마무리했습니다. 경복궁 외부를 빙 둘러 가는 길은 생각보다 길고 경사져서 주의하시고 가야할 듯 합니다.  공휴일에 뜻깊은 추억을 만들어준 경복궁이 좋았기에, 또 방문할 듯 합니다."
2주 전,별표 5개,20년전 칼바람 부는 겨울에 방문하고 다시 방문한 경회루와 경복궁! 한국인보다 외국인이 더 많네요. 곳곳에 한복입으신 외국분들 너무 귀여우심 ㅎㅎ 서울 한복판에서 조선시대를 제대로 느낄 수 있는 곳입니다!
4개월 전,별표 5개,"서울의 가장 유명한 대표 유료 역사지이자 도심 한복판에 자리잡은 이곳은 조선 왕조의 법궁(法宮)으로 1395년에 창건된 조선 제일의 궁궐을 복원해 규모와 격식 면에서 압도적이다.  입장료가 매우 저렴한데 특정날이나 명절에는 무료로 개방되기도 하며, 매주 화요일은 정기 휴궁일. 경내 부지가 매우 넓으니 편한 신발을 착용하는 것을 권장. 근정전의 웅장함과 경회루의 아름다운 연못 풍경이 조화롭게 어우져 고즈넉함과 화려한 향원정 또한 관람객들의 눈을 사로잡는다. 일정 시간마다 치뤄지는 수문장 교대 의식이 좋은 볼거리를 제공하며 한복을 입은 사람은 무료로 입장이 가능해 많은 외국인들과 젊은 방문객들이 한복을 대여해 사극의 분위기를 즐기는 명소.  계절마다 변화하는 자연경관이 일품인데 특히 겨울에 눈이 잔뜩 내릴때면 더욱 아름다운 장소로 변해 인생샷을 남기려는 이들로 북적인다.  '국립민속박물관'과 '국립고궁박물관'이 인접해 있고 두 곳 모두 높은 완성도를 자랑하는 무료 전시관들이니 시간이 된다면 필히 관람하도록 하자.  경복궁은 서울 관광의 필수 코스이자 한국의 역사와 전통 건축 양식을 이해하기에 더없이 좋은 곳이니 만큼 무조건 들려서 조선 시대의 향취를 느끼는 타임머신을 타보길 강력히 추천한다."
수정일: 6개월 전,별표 5개,1. 조선 한양의 첫번째 궁궐이자 조선 왕조 제일의 법궁 2. 우리나라의 자랑스러운 문화유산으로 내국인 외국인 할 것 없이 반드시 방문해 보아야 하는 수도의 랜드마크 3. 북한산을 끼고 있는 모습이 매우 웅장하고 장엄하다
6개월 전,별표 5개,"조선 왕조의 상징으로 왕과 왕비가 거처하며 정치를 펼친 법궁이다. 왕의 권위를 나타내기 위해 기하학적인 공간분할,반듯한 축선상의 배치,정연한 대칭구조로 설계되었다. 대표적인 전각으로 근정전,경회루,강녕전,자경전,건청궁과 명성왕후의 처소, 시해장소인 곤녕합,교태전,교태전의 뒷뜰정원과 굴뚝,자경과 흥복전,등 많은 전각들을 관람할수있다.관람시간은 1~2시간정도 소요 유료관람이다"
1개월 전,별표 5개,주차장도 있고 너무 좋았어요. 야경관람은 사이트에서 따로 예매 후 방문 가능합니다.
수정일: 4개월 전,별표 1개,별로에요. 한복 입고 사진 찍으러 오는 사람들은 많은데 정작 문화재 관람은 별게 없네요. 원형이 보존된 것도 아니고. 창덕궁이 원형대로 더 잘 보존되어 있습니다. 무료로 운영되는 국립중앙박물관이 100배는 더 낫네요.
1개월 전,별표 5개,혼자가서 구경라기도 좋습니다. 외국인도 믾고 이벤트도 많이하고 마지막에 국립민속박물관도 들렸다 오시는 것을 추천해요.
6개월 전,별표 5개,초등학교때 가보고 나이 40먹어서 가니깐 감회가 새롭고 즐겁고 아름다웠다. 같이 간 남자친구가 외국인인데 더 즐거워하고 그 구조에대해서 놀라워하고 왕의 자리에서 바깥까지 한 눈에 볼 수 있는것에 감탄하엿다. 어릴땐 경복궁에 사람이 없었는데 몇십년만에 가니 한국사람보다 외국인이 엄청 많은게 신기했다. 다들 그 추운데 한복을 입고.. 한복대여점은 양심이있다면 겨울에는 겨울 한복을 대여 해 줘라. 마이너스 날씨에 여름 한복이 웬말이냐ㅡ
8개월 전,별표 5개,서울의 궁 중 가장 큰 규모의 왕궁. 자연과 잘 어우러진 건축물들과 풍경이 매우 아름다움. 가을에는 예쁜 단품으로 수많은 포토스팟이 있어 사진 찍으며 즐기기에 좋음. 단 여름에는 매우 더운 서울의 날씨 탓에 한복입고 방문은 말리고 싶음.
