rating,date,review
5.0,2025.06.09.,"같은학년 아이들끼리 묶어서 너무 좋은 경험 했습니다.
즐겁게 경복궁을 알게되어 행복해했어요! 
힘드셨을 재민쌤께 감사의 인사를 드려요"
5.0,2025.06.04.,선생님이 정말 활기차시고 굉장히 더운 날이었는데도 아이들이랑 사진도 찍어주시고 재밌게 수업하셔서 다음에도 재민쌤 수업 듣고싶다고 했어요~ 선생님 배정이 랜덤이다보니 아쉽지만 다음에조 뵐 수 있었으면 좋겠습니다 고생많으셨어요~ 티처투어가 있어서 너무 다행입니다 접기
5.0,2025.06.04.,"다현쌤 아이들이 최고였대요
설명도 잘해주시고 아이들에게 다정하게"
5.0,2025.06.02.,하루를 아주 꽉채워 뜻깊은 하루였네요. 조카들 신청했는데 너무 너무 좋아했어요. 아이들에게 경복궁에 대해서 선생님의 수업과 함께 많은걸 알 수 있어서 뿌듯한 하루였어요! 다 끝나고 후기 사진도 보내주시고 감사합니다! 티처투어를 투어하는 친구들도 많더라고요. 저희도 또 다른 수업에서 뵙겠습니다!! 경복궁은 끝나고 민속박물관도 다녀오고 좋아요!! 접기
1.0,2025.06.02.,"아이 친구들과 같이 예약을 해서 경복궁에 다녀 왔는데,
그냥 둘러보는 것 보다 선생님과 함께 하니 더 많은 걸 배워왔고 엄마들은 편히 브런치를 하며 기다리기 좋았어요^^ 선생님이 친절하시고 아이들 사진도 찍어주시고 아이들 수업진행하면서 아이들의 태도나 성향도 글로 남겨주시고 정말 또 만나고 싶네요^^  아이들 키즈카페 데려가는데신 종종 신청해서 유익한 시간 보낼까 합니다!! 접기"
5.0,2025.06.01.,아이들에게 종말 뜻깊은 시간이였어요 :-) 기회를 만들어 다른 체험더 해보고 싶네요~ 최서진선생님 감사합니다
5.0,2025.05.26.,"10살, 8살 아이들과 다녀왔습니다. 주말 오전이라 사람들이 많았지만 선생님께서 하나하나 설명을 잘 해주시고~ 아이들도 잘 이끌어 주셔서 끝까지 재미있게 투어 했습니다. 저랑 신랑도 선생님 설명 덕분에 더 유익하게 관람할 수 있었습니다."
5.0,2025.05.26.,문화재에 큰 관심이 없던 가족이 너무 재미있게 설명을 들었습니다~ 빠르게 시간이 흘렀습니다. 감사합니다
5.0,2025.05.25.,"1, 3학년 남매를 동시 신청했는데  2학년 2명과 함께 4명으로 그룹수업 진행되었어요
그냥 경복궁만 보자하면 아이들은 재미가 없었을텐데
선생님과 함께 교재를 가지고 재밌게 수업 진행되니 또 가고싶어요, 선생님과 또 만날수 있어요? 얘기하며 두시간 동안 즐겁게 참여하고 왔네요
현직 교사 선생님의 열정적인 수업과 밝은 에너지도 좋았어요
투어시간 동안 저는 자유시간도 갖게 되었고 아이들도 재밌어했기에 보람찬 하루 였어요 접기"
5.0,2025.05.18.,"초등학생4명 7살1명. 단독팀으로 수업들었어요
아이들이 역사에 대한 관심과 필요성이 증가하면서
그냥 관광이 아닌 설명이 필요하겠다 생각하던차에 신청하게 되었어요.

일단, 처음 예약할때부터 너무 친절하게
응답해주는 모습에 신뢰감 상승^^

경복궁 근처에 도착하자 한복 입은 사람들 모습에
아이들이 본인들도 입고싶다고 하여 예상치못하게 한복대여하고ㅋㅋ수업에 참여하게 되었습니다.

여름만큼은 아니었지만 더운 날씨에 힘들기도했을텐데 2시간 내내 텐션 유지해준 재민선생님!!
그냥 지나칠수 있는 부분까지 상세히!  재미있게!  설명해주셨습니다^^

함께 간 엄마들이 입을모아 다음에도 같은 선생님께 수업신청하자며^^ 벌써 다음 계획을 구상중입니다~

경복궁 투어를 고민중이신분들은 주저하지않고 신청하시면 후회하지않으실겁니다!! 접기"
