rating,date,content
4,2024년 11월 14일,한복입고 사진 촬영하기 좋은 곳이에요!
5,2024년 10월 16일,"경복궁 야간개장, 그 신비로움 속으로 다녀온 후기"
5,2024년 10월 16일,경복궁 나들이
5,2024년 10월 16일,서울 최고의 관광지
5,2024년 10월 16일,다시 찾은 경복궁
5,2024년 10월 15일,경복궁 야간개장 함께해요
5,2024년 10월 14일,한국 전통의 미는 여기서~
5,2024년 10월 14일,"경복궁 , 푸른 하늘 , 아른다운 경험"
5,2024년 10월 14일,서울에서 반드시 방문해야할 곳.
5,2024년 10월 11일,경복궁 최고
5,2024년 10월 7일,"역사의 숨결을 느끼다 경복궁 곳곳을 거닐며 조선시대의 역사와 문화를 직접 체험할 수 있었습니다. 특히 근정전에서는 왕의 위엄을 느낄 수 있었고, 경회루의 아름다운 연못 위 누각은 그야말로 환상적이었습니다."
4,2024년 10월 7일,아름다운 풍경을 보며 나들이 하기 좋은 곳
5,2024년 9월 30일,"경복궁, 화려함 속 시간 여행!"
5,2024년 9월 27일,가을날 방문하기가 좋아요!
5,2024년 9월 27일,더운 날씨에 걷는게 힘들 수도 있지만 향원정에서 연꽃을 바라보면 마음이 너무 시원해집니다.
5,2024년 9월 27일,"너무나도 아름다운 경복궁, 에 산책을 곁들인"
5,2024년 9월 27일,크고 웅장하며 그 속에 한국의 고유의 멋이 존재하는 곳
5,2024년 9월 25일,멋진 궁과 사진이 예쁘게 나와요
5,2024년 9월 13일,행복한 경복궁투어의 여행
5,2024년 9월 12일,9월에 경복궁 야간 개장에 다녀오다
5,2024년 9월 11일,서울 한복판에서 500년전으로 돌아가다
5,2024년 9월 9일,추석에 경복궁 방문
5,2024년 8월 30일,추천합니다 :)
5,2024년 8월 30일,파란 하늘과 선선한 바람이 잘 어울리는 장소
5,2024년 8월 29일,아들아~ 옛날에 우리나라 왕이 살던 곳이란다~
5,2024년 8월 29일,밥먹고 산책 겸 다녀오기 좋은 경북궁
4,2024년 8월 29일,한국을 대표하는 궁궐 너무 멋져요
5,2024년 8월 28일,역사적 배움터
4,2024년 8월 28일,경복궁 입구부터 펼쳐지는 따스한 기운가득합니다 집옥재 중국풍 건물도 다녀오세요
5,2024년 8월 28일,서울의 필수 구경 관광지!
5,2024년 8월 28일,한국적인 색감과 전통문양의 멋~~!
5,2024년 8월 28일,경복궁이 최고야
5,2024년 7월 22일,500여년 전의 조선시대 최고 궁궐 건축문화 체험
5,2024년 7월 3일,한국의 고즈넉한 멋을 느낄 수 있는 곳
